,text,code,party,label,party_code
38,They rush to force before exhausting diplomacy.,305,D,political authority,0
39,They bully rather than persuade.,305,D,political authority,0
40,They act alone when they could assemble a team.,305,D,political authority,0
41,They hope for the best when they should prepare for the worst.,305,D,political authority,0
42,"Time and again, this Administration confuses leadership with going it alone and engagement with compromise of principle.",305,D,political authority,0
43,They do not understand that real leadership means standing by your principles and rallying others to join you.,305,D,political authority,0
44,"John Kerry, John Edwards and the Democratic Party believe in a better, stronger America - an America that is respected, not just feared, and an America that listens and leads.",305,D,political authority,0
45,"Our vision has deep roots in our Declaration of Independence and Franklin Delano Roosevelt's Four Freedoms,",203,D,constitution +,0
46,"and in the tough-minded tradition of engagement and leadership-a tradition forged by Wilson and Roosevelt in two world wars, then championed by Truman and Kennedy during the Cold War.",305,D,political authority,0
47,"We believe in an America that people around the world admire, because they know we cherish not just our freedom, but theirs.",201,D,freedom & human rights,0
48,"Not just our democracy, but their hope for it.",202,D,democracy,0
49,"Not just our peace and security, but the world's.",106,D,peace,0
50,"We believe in an America that cherishes freedom, safeguards our people, forges alliances, and commands respect.",201,D,freedom & human rights,0
51,That is the America we are going to build.,0,D,,0
52,Our overriding goals are the same as ever: to protect our people and our way of life;,601,D,national way of life +,0
53,"and to help build a safer, more peaceful,",106,D,peace,0
54,"more prosperous,",410,D,economic growth +,0
55,more democratic world.,202,D,democracy,0
56,"Today, we face three great challenges above all others - first, to win the global war against terror;",104,D,military +,0
57,"second, to stop the spread of nuclear, biological and chemical weapons;",105,D,military -,0
58,"and third, to promote democracy and freedom around the world, starting with a peaceful and stable Iraq.",202,D,democracy,0
59,"To meet these challenges, we need a new national security policy guided by four new imperatives:",605,D,law and order +,0
60,"First, America must launch and lead a new era of alliances for the post-September 11 world.",101,D,foreign special +,0
61,"Second, we must modernize the world's most powerful military to meet the new threats.",104,D,military +,0
62,"Third, in addition to our military might, we must deploy all that is in America's arsenal -",104,D,military +,0
63,"our diplomacy,",107,D,internationalism +,0
64,"our intelligence system,",605,D,law and order +,0
65,"our economic power,",408,D,economic goals,0
66,and the appeal of our values and ideas.,601,D,national way of life +,0
67,"Fourth and finally, to safeguard our freedom and ensure our nation's future, we must end our dependence on Mideast oil.",102,D,foreign special -,0
68,"Today, the Bush Administration is waging a war against a global terrorist movement committed to our destruction with insufficient understanding of our enemy or effort to address the underlying factors that can give rise to new recruits.",605,D,law and order +,0
69,This war isn't just a manhunt.,605,D,law and order +,0
70,"We cannot rest until Osama bin Laden is captured or killed, but that day will mark only a victory in the war on terror, not its end.",605,D,law and order +,0
71,Terrorists like al Qaeda and its affiliates are unlike any adversary our nation has ever known.,605,D,law and order +,0
72,"We face a global terrorist movement of many groups, funded from different sources with separate agendas, but all committed to assaulting the United States and free and open societies around the globe.",605,D,law and order +,0
73,"Despite his tough talk, President Bush's actions against terrorism have fallen far short.",605,D,law and order +,0
74,He still has no comprehensive strategy for victory.,605,D,law and order +,0
75,"After allowing bin Laden to escape from our grasp at Tora Bora, he diverted crucial resources from the effort to destroy al Qaeda in Afghanistan.",605,D,law and order +,0
76,His doctrine of unilateral preemption has driven away our allies and cost us the support of other nations.,605,D,law and order +,0
77,"We must put in place a strategy to win - an approach that recognizes and addresses the many facets of this mortal challenge, from the terrorists themselves to the root causes that give rise to new recruits, and uses all the tools at our disposal.",605,D,law and order +,0
78,"Agents of terrorism work in the shadows of more than 60 nations, on every continent.",605,D,law and order +,0
79,"The only possible path to victory will be found in the company of others, not walking alone.",101,D,foreign special +,0
80,"With John Kerry as Commander-in-Chief, we will never wait for a green light from abroad when our safety is at stake,",305,D,political authority,0
81,but we must enlist those whose support we need for ultimate victory.,101,D,foreign special +,0
82,Victory in the war on terror requires a combination of American determination and international cooperation on all fronts.,107,D,internationalism +,0
83,"It requires the ability and willingness to direct immediate, effective military action when the capture or destruction of terrorist groups and their leaders is possible;",104,D,military +,0
84,a massive improvement in intelligence gathering and analysis coupled with vigorous law enforcement;,605,D,law and order +,0
85,a relentless effort to shut down the flow of terrorist funds;,605,D,law and order +,0
86,a global effort to prevent failed or failing states that can become sanctuaries for terrorists;,605,D,law and order +,0
87,a sustained effort to deny terrorists any more recruits by conducting effective public diplomacy;,605,D,law and order +,0
88,"and a sustained political and economic effort to improve education,",506,D,education +,0
89,"work for peace,",106,D,peace,0
90,support democracy and extend hope.,202,D,democracy,0
91,We will train and equip the military to enhance its capabilities to seek out and destroy terrorists.,104,D,military +,0
92,We will strengthen the capacity of intelligence and law enforcement around the world by forging stronger international coalitions to provide better information and communication.,605,D,law and order +,0
93,We must also improve our intelligence here at home.,605,D,law and order +,0
94,"From the failure to uncover the September 11th plot to the deeply misguided reports about Iraq's supposed weapons of mass destruction, we have experienced unprecedented intelligence failures in recent years.",605,D,law and order +,0
95,We must do what President Bush has refused to do - reform our intelligence system by creating a true Director of National Intelligence with real control of intelligence personnel and budgets.,605,D,law and order +,0
96,We must train more analysts in languages spoken by terrorists.,605,D,law and order +,0
97,"And we must break down the old communications barriers between national intelligence and local law enforcement, taking care to fully preserve our liberties.",605,D,law and order +,0
98,We will move decisively to cut off the flow of terrorist funds.,605,D,law and order +,0
99,We will impose tough financial sanctions against nations or banks that engage in money laundering or fail to act against it.,605,D,law and order +,0
100,We will strengthen our anti-money laundering laws to prevent terrorists from using hedge funds and unregulated institutions to finance terror.,605,D,law and order +,0
101,"We will launch a ""name and shame"" campaign against those that are financing terror.",605,D,law and order +,0
102,"If nations do not respond, they will be shut out of the U.S. financial system.",102,D,foreign special -,0
103,"And in the specific case of Saudi Arabia, we will put an end to the Bush Administration's kid-glove approach to the supply and laundering of terrorist money.",102,D,foreign special -,0
104,Nowhere is the need for collective endeavor greater than in Afghanistan.,605,D,law and order +,0
105,The Bush Administration has badly mishandled the war's aftermath.,605,D,law and order +,0
106,"Two years ago, President Bush promised a Marshall Plan to rebuild that country.",605,D,law and order +,0
107,"Instead, he has all but turned away from Afghanistan, allowing it to become again a potential haven for terrorists.",605,D,law and order +,0
108,We must expand NATO forces outside Kabul.,104,D,military +,0
109,We must accelerate training for the Afghan army and police.,104,D,military +,0
110,The program to disarm and reintegrate warlord militias into society must be expedited and expanded into a mainstream strategy.,605,D,law and order +,0
111,We will attack the exploding opium trade ignored by the Bush Administration by doubling our counter-narcotics assistance to the Karzai Government and reinvigorating the regional drug control program.,605,D,law and order +,0
112,"Beyond Afghanistan, terrorist attacks from Saudi Arabia and Indonesia to Kenya, Morocco, and Turkey point to a widening network of terrorists targeting this country and our friends.",605,D,law and order +,0
113,Failed and failing states like Somalia or countries with large areas of limited government control like the Philippines and Indonesia need international help to close down terrorist havens.,101,D,foreign special +,0
114,At the core of this conflict is a fundamental struggle of ideas: democracy and tolerance against those who would use any means and attack any target to impose their narrow views.,202,D,democracy,0
115,The war on terror is not a clash of civilizations.,605,D,law and order +,0
116,It is a clash of civilization against chaos.,605,D,law and order +,0
117,America needs a major initiative in public diplomacy to support the many voices of freedom in the Arab and Muslim world.,201,D,freedom & human rights,0
118,"To improve education for the next generation of Islamic youth, we need a cooperative international effort to compete with radical Madrassas.",506,D,education +,0
119,"And we must support human rights groups,",201,D,freedom & human rights,0
120,"independent media,",201,D,freedom & human rights,0
121,and labor unions dedicated to building a democratic culture from the grassroots up.,701,D,labour groups +,0
122,"Democracy will not blossom overnight, but America should speed its growth by sustaining the forces of democracy against repressive regimes and by rewarding governments that work toward this end.",202,D,democracy,0
123,There is no greater threat to American security than the possibility of terrorists armed with weapons of mass destruction.,605,D,law and order +,0
124,Preventing terrorists from gaining access to these weapons must be our number one security goal.,605,D,law and order +,0
125,Containing this massive threat requires American leadership of the highest order -,305,D,political authority,0
126,"leadership that brings our allies, friends, and partners to greater collaboration and participation",305,D,political authority,0
127,#NAME?,305,D,political authority,0
128,"Unfortunately, this Administration's policies have moved America in the opposite direction.",305,D,political authority,0
129,They have weakened international agreements and efforts to enforce non-proliferation instead of strengthening them.,305,D,political authority,0
130,They have not done nearly enough to secure existing stockpiles and bomb-making materials.,605,D,law and order +,0
131,They have failed to take effective steps to stop the North Korean and Iranian nuclear programs.,102,D,foreign special -,0
132,We must change course now.,305,D,political authority,0
133,"First, the world should be on notice that we will take every possible measure to defend ourselves against the possibility of attack by unconventional arms.",104,D,military +,0
134,"If such an attack appears imminent, we will do everything necessary to stop it.",104,D,military +,0
135,"If such a strike does occur, we will respond with overwhelming and devastating force.",104,D,military +,0
136,But we should never wait to act until we have no other choice but war.,104,D,military +,0
137,We must build and lead an international consensus for early preventive action to lock up and secure existing weapons of mass destruction and the material to manufacture more.,105,D,military -,0
138,The first step is to safeguard all bomb making material worldwide.,105,D,military -,0
139,"We need to find it, catalog it, and lock it away.",105,D,military -,0
140,Our approach should be simple: treat the nuclear materials that make bombs like they are bombs.,105,D,military -,0
141,"More than a decade after the fall of the Berlin Wall, Russia still has nearly 20,000 nuclear weapons and enough nuclear material to produce 50,000 more.",105,D,military -,0
142,"For most of these weapons and materials, cooperative security upgrades have not been completed.",105,D,military -,0
143,The world is relying on whatever measures Russia has taken on its own.,105,D,military -,0
144,"At the current pace, it will take 13 years to secure potential bomb material in the former Soviet Union.",105,D,military -,0
145,We cannot wait that long.,105,D,military -,0
146,We will do it in four years.,105,D,military -,0
147,We will lead an international coalition to put an end to the production of new materials - highly enriched uranium and plutonium - for use in nuclear weapons.,105,D,military -,0
148,And we will reduce excess stocks of existing nuclear materials and weapons.,105,D,military -,0
149,We will conduct a global cleanout initiative to remove stockpiles of vulnerable highly enriched uranium at research reactors and facilities in dozens of countries around the world within four years.,105,D,military -,0
150,We must show determined leadership to end the nuclear weapons program in North Korea and prevent the development of nuclear weapons in places like Iran.,105,D,military -,0
151,North Korea has sold ballistic missiles and technology in the past.,105,D,military -,0
152,The North Koreans have made it clear to the world - and to the terrorists - that they are open for business and will sell to the highest bidder.,105,D,military -,0
153,"But while this Administration has been fixated on Iraq, the nuclear dangers from North Korea have multiplied.",105,D,military -,0
154,The North Koreans allegedly have made enough new fuel to make six to nine nuclear bombs.,105,D,military -,0
155,"We should maintain the six-party talks, but we must also be prepared to talk directly with North Korea to negotiate a comprehensive agreement that addresses the full range of issues for ourselves and our allies.",101,D,foreign special +,0
156,But we should have no illusions about Kim Jong Il.,105,D,military -,0
157,Any agreement must have rigorous verification and lead to complete and irreversible elimination of North Korea's nuclear weapons program.,105,D,military -,0
158,"Even as we have scoured Iraq for signs of weapons of mass destruction, Iran has reportedly been working to develop them next door.",105,D,military -,0
159,A nuclear-armed Iran is an unacceptable risk to us and our allies.,105,D,military -,0
160,The same is true for other countries that may be seeking nuclear weapons.,105,D,military -,0
161,This is why strengthening the Nuclear Nonproliferation Treaty is so critical.,105,D,military -,0
162,"We must close the loophole that lets countries develop nuclear weapons capabilities under the guise of a peaceful, civilian nuclear power program.",105,D,military -,0
163,We also need to strengthen enforcement and verification and make rigorous inspection protocols mandatory.,105,D,military -,0
164,"We must work with every country to tighten export controls,",101,D,foreign special +,0
165,"stiffen penalties,",605,D,law and order +,0
166,and beef up law enforcement and intelligence sharing.,605,D,law and order +,0
167,"That way we can make absolutely sure that a disaster like the AQ Khan black market network, which grew out of Pakistan's nuclear program, can never happen again.",105,D,military -,0
168,We must also take steps to reduce tension between India and Pakistan and guard against the possibility of their nuclear weapons falling into the wrong hands.,105,D,military -,0
169,"We know that promoting democracy,",202,D,democracy,0
170,"human rights,",201,D,freedom & human rights,0
171,and the rule of law is vital to our long-term security.,605,D,law and order +,0
172,Americans will be safer in a world of democracies.,202,D,democracy,0
173,"We will work with people and nongovernmental organizations around the world struggling for freedom,",201,D,freedom & human rights,0
174,even as we work with their governments to protect our security from weapons of terror.,605,D,law and order +,0
175,We will restore America's credibility and commitment as a force for democracy,201,D,freedom & human rights,0
176,"and human rights, starting in Iraq.",202,D,democracy,0
177,"We believe that upholding international standards for the treatment of prisoners, wherever they may be held, advances America's national security, the security of our troops, and the values of our people.",201,D,freedom & human rights,0
178,And we believe torture is unacceptable.,201,D,freedom & human rights,0
179,"America should abide by its own laws and the treaties it has ratified, including the Geneva Conventions.",201,D,freedom & human rights,0
180,"We will also support international efforts to address the problem of landmines,",105,D,military -,0
181,while at the same time ensuring that our troops are protected.,104,D,military +,0
182,"More than a year ago, President Bush stood on an aircraft carrier under a banner that proclaimed ""mission accomplished.",305,D,political authority,0
183,""" But today we know that the mission is not finished, hostilities have not ended, and our men and women in uniform fight almost alone with the target squarely on their backs.",305,D,political authority,0
184,"People of good will disagree about whether America should have gone to war in Iraq, but this much is clear: this Administration badly exaggerated its case, particularly with respect to weapons of mass destruction and the connection between Saddam's government and al Qaeda.",305,D,political authority,0
185,This Administration did not build a true international coalition.,305,D,political authority,0
186,This Administration disdained the United Nations weapons inspection process and rushed to war without exhausting diplomatic alternatives.,305,D,political authority,0
187,"Ignoring the advice of military leaders, this Administration did not send sufficient forces into Iraq to accomplish the mission.",305,D,political authority,0
188,And this Administration went into Iraq without a plan to win the peace.,305,D,political authority,0
189,Now this Administration has been forced to change course in order to correct this fundamental mistake.,305,D,political authority,0
190,They are now taking up the suggestions that many Democrats have been making for over a year.,305,D,political authority,0
191,"And they must - because having gone to war, we cannot afford to fail at peace.",106,D,peace,0
192,We cannot allow a failed state in Iraq that inevitably would become a haven for terrorists and a destabilizing force in the Middle East.,106,D,peace,0
193,"And we must secure more help from an international community that shares a huge stake in helping Iraq become a responsible member of that community, not a breeding ground for terror and intolerance.",107,D,internationalism +,0
194,"As a first step, we must create a stable and secure environment in Iraq.",202,D,democracy,0
195,"To do this right, we must truly internationalize both politically and militarily: we cannot depend on a US-only presence.",107,D,internationalism +,0
196,"Other nations have a vital interest in the outcome, and we must bring them in to commit troops and resources.",107,D,internationalism +,0
197,The Bush Administration has missed three great opportunities to do that.,305,D,political authority,0
198,"First, the President broke his promise to build a legitimate coalition in Iraq by exhausting diplomacy before resorting to the use of military force.",305,D,political authority,0
199,"Second, when the statue fell in Baghdad, Kofi Annan invited the United States to come to the table to discuss international support - but we rejected his offer.",305,D,political authority,0
200,"Third, when the President addressed the United Nations last fall, he once again refused to acknowledge the difficulties we faced in Iraq and failed to elicit support from other nations.",305,D,political authority,0
201,"The President has not given our troops the clarity of mission, the equipment or the international support they need and deserve.",305,D,political authority,0
202,We have a different approach based on a simple commitment: Troops come first.,104,D,military +,0
203,Our helicopter pilots have flown battlefield missions without the best anti-missile systems.,104,D,military +,0
204,"In a Democratic Administration, that will change.",104,D,military +,0
205,"Too many of our nation's finest troops have died in attacks, because tens of thousands were deployed to Iraq without the best bulletproof vests, and there is a shortage of armored vehicles on the ground.",104,D,military +,0
206,"In a Democratic Administration, that will change.",104,D,military +,0
207,Thousands of National Guardsmen and reservists have been forced to leave their families and jobs for more than a year - with no end in sight - because this Administration ignored the pressing need for a true coalition.,104,D,military +,0
208,"In a Democratic Administration, that will change.",104,D,military +,0
209,"To succeed, America must do the hard work of engaging the world's major political powers in this mission.",101,D,foreign special +,0
210,"We must build a coalition of countries, including the other permanent members of the UN Security Council, to share the political, economic, and military responsibilities of Iraq with the United States.",101,D,foreign special +,0
211,"To win over allies, we must share responsibility with those nations that answer our call, and treat them with respect.",101,D,foreign special +,0
212,"We must lead, but we must listen.",101,D,foreign special +,0
213,The rewards of respect are enormous.,101,D,foreign special +,0
214,We must convince NATO to take on a more significant role and contribute additional military forces.,101,D,foreign special +,0
215,"As other countries, including Muslim majority countries, contribute troops, the United States will be able to reduce its military presence in Iraq, and we intend to do this when appropriate so that the military support needed by a sovereign Iraqi government will no longer be seen as the direct continuation of an American military presence.",105,D,military -,0
216,"Second, we need to create an international High Commissioner to serve as the senior international representative working with the Iraqi government.",107,D,internationalism +,0
217,"This Commissioner should be backed by a newly broadened security coalition and charged with overseeing elections, assisting with drafting a constitution, and coordinating reconstruction.",107,D,internationalism +,0
218,"The Commissioner should be highly regarded by the international community, have the credibility to talk to all the Iraqi people, and work directly with Iraq's interim government, the new U.S. Ambassador, and the international community.",107,D,internationalism +,0
219,"At the same time, U.S. and international policies must take into consideration the best interests of the Iraqi people.",107,D,internationalism +,0
220,"The Iraqi people desperately need financial and technical assistance that is not swallowed up by bureaucracy and no-bid contracts, but instead goes directly into grassroots organizations.",107,D,internationalism +,0
221,"They need to see the tangible benefits of reconstruction: jobs, infrastructure, and services.",107,D,internationalism +,0
222,"They should also receive the full benefits of their own oil production as quickly as possible, so as to rebuild their country and help themselves as individuals,",107,D,internationalism +,0
223,while also reducing the costs of security and reconstruction on the American taxpayer and the cost of gasoline to American consumers.,408,D,economic goals,0
224,And they need to be able to communicate their concerns to international authorities without feeling they are being disrespected in their own country.,107,D,internationalism +,0
225,America also needs a massive training effort to build Iraqi security forces that can actually provide security for the Iraqi people.,107,D,internationalism +,0
226,It must be done in the field and on the job as well as in the classroom.,107,D,internationalism +,0
227,Units cannot be put on the street without backup from international security forces.,107,D,internationalism +,0
228,"This is a task we must do in partnership with other nations, not just on our own.",107,D,internationalism +,0
229,And this is a task in which we must succeed.,107,D,internationalism +,0
230,If we fail to create viable Iraqi security forces - military and police - there is no successful exit for us and other nations.,107,D,internationalism +,0
231,"The challenges in Iraq are great, but the opportunity is also significant.",106,D,peace,0
232,"Under John Kerry and John Edwards, we will meet those challenges, win the peace in Iraq, and help to create new hope and opportunity for the entire Middle East.",106,D,peace,0
233,U.S. engagement in Africa should reflect its vital significance to U.S. interests and the moral imperative to help a continent struggling with the scourge of HIV/AIDS and under the long shadow of chronic poverty.,107,D,internationalism +,0
234,The HIV/AIDS pandemic in southern and eastern Africa is a massive human tragedy.,107,D,internationalism +,0
235,It is also a security risk of the highest order that threatens to plunge nations into chaos.,107,D,internationalism +,0
236,Chronic and debilitating hunger also threatens the very survival of communities where investment in agriculture has suffered for over a decade.,107,D,internationalism +,0
237,We are committed to bringing the full weight of American leadership to bear against this crisis.,305,D,political authority,0
238,"We must also work with the United Nations and Africa's regional organizations to address Africa's persistent, disproportionate share of the world's weak, failing states and chronic armed conflicts, and to promote effective relief efforts when there is a humanitarian crisis - particularly at this moment in Sudan.",107,D,internationalism +,0
239,"We value our deepening economic ties with Africa, including Central and West Africa's rapidly rising position as a major source of non-Gulf oil.",101,D,foreign special +,0
240,We recognize Africa's promise as a trade and investment partner and the importance of trade policies that reduce poverty and promote growth in Africa.,107,D,internationalism +,0
241,We will continue to promote policies to support newly democratic states that have shown a commitment to economic reform and respect for human rights.,107,D,internationalism +,0
242,"In Asia, we must better engage with China to secure Chinese adherence to international trade, non-proliferation and human rights standards.",101,D,foreign special +,0
243,"We are committed to a ""One China"" policy, and will continue to support a peaceful resolution of cross-Straits issues that is consistent with the wishes and best interests of the Taiwanese people.",101,D,foreign special +,0
244,"We must maintain our strong relationship with Japan, and explore new ways to cooperate further.",101,D,foreign special +,0
245,And we will actively seek to enhance relations with our historic ally South Korea in order to advance our collaborative efforts on economic and security issues.,101,D,foreign special +,0
246,"We must also work with our friends, India and Pakistan, in their efforts to resolve longstanding differences.",101,D,foreign special +,0
247,"Throughout the 20th century, America's most trusted and reliable allies were the democracies of Europe; together, the two sides of the Atlantic ensured that democracy and free markets prevailed against all challenges.",101,D,foreign special +,0
248,"The Bush Administration has allowed the Atlantic partnership to erode, leaving the United States dangerously isolated from its indispensable allies.",101,D,foreign special +,0
249,The Democratic Party is committed to revitalizing the Atlantic partnership.,101,D,foreign special +,0
250,The international goals that the United States pursues will be easier to attain if Europe and America are working together.,101,D,foreign special +,0
251,"We will ensure that NATO remains strong, continuing to consolidate peace in Europe even as the alliance takes on new tasks in Afghanistan and Iraq.",104,D,military +,0
252,We look forward to the evolution of the European Union and to a prosperous and unified Europe that joins the United States in meeting today's security challenges and expanding the global economy.,108,D,europe +,0
253,We believe that it is time to create a new Community of the Americas that reflects our close relationship with our regional neighbors.,101,D,foreign special +,0
254,"We will return U.S. -Latin American relations to a place marked by dialogue, consensus and concerted action to address common concerns.",101,D,foreign special +,0
255,"We understand that our collective security and prosperity are furthered by mutual efforts to promote democracy, generate wealth, reduce income disparities, and provide sound environmental stewardship.",101,D,foreign special +,0
256,We are committed to strong and steady support for democratic processes and institutions in our hemisphere.,202,D,democracy,0
257,"We believe that democratic governments deserve our support, and that we should exercise our considerable diplomatic and moral force in support of democratically elected leaders.",202,D,democracy,0
258,"Mexico has made steady progress toward building a mature democracy, and we will make relations with Mexico a priority in order to best address economic, environmental and social issues of concern.",202,D,democracy,0
259,We support effective and peaceful strategies to end the Castro regime as soon as possible and enable the Cuban people to take their rightful place in the democratic Community of the Americas.,202,D,democracy,0
260,"We will work with the international community to increase political and diplomatic pressure on the Castro regime to release all political prisoners, support civil society, promote the important work of Cuban dissidents, and begin a process of genuine political reform.",202,D,democracy,0
261,Within this framework the Democratic Party supports a policy of principled travel to Cuba that promotes family unity and people-to-people contacts through educational and cultural exchanges.,101,D,foreign special +,0
262,We will seek to reinforce democratic values in Haiti and throughout the Caribbean.,202,D,democracy,0
263,"We will support economic development to increase employment and economic opportunity, reducing incentives for emigration by dangerous and life-threatening means.",101,D,foreign special +,0
264,We will increase efforts to combat drug-trafficking throughout the Caribbean and ensure that those involved in bringing drugs into the U.S. are brought to justice.,605,D,law and order +,0
265,We will assist in combating corruption so that funds made available for development are used appropriately.,101,D,foreign special +,0
266,The Democratic Party is fundamentally committed to the security of our ally Israel,101,D,foreign special +,0
267,"and the creation of a comprehensive, just and lasting peace between Israel and her neighbors.",105,D,military -,0
268,"Our special relationship with Israel is based on the unshakable foundation of shared values and a mutual commitment to democracy, and we will ensure that under all circumstances, Israel retains the qualitative edge for its national security and its right to self-defense.",101,D,foreign special +,0
269,Jerusalem is the capital of Israel and should remain an undivided city accessible to people of all faiths.,101,D,foreign special +,0
270,"Under a Democratic Administration, the United States will demonstrate the kind of resolve to end the Israeli-Palestinian conflict that President Clinton showed.",106,D,peace,0
271,"We will work to transform the Palestinian Authority by promoting new and responsible leadership, committed to fighting terror and promoting democracy.",106,D,peace,0
272,We support the creation of a democratic Palestinian state dedicated to living in peace and security side by side with the Jewish State of Israel.,202,D,democracy,0
273,"The creation of a Palestinian state should resolve the issue of Palestinian refugees by allowing them to settle there, rather than in Israel.",106,D,peace,0
274,"Furthermore, all understand that it is unrealistic to expect that the outcome of final status negotiations will be a full and complete return to the armistice lines of 1949.",106,D,peace,0
275,And we understand that all final status negotiations must be mutually agreed.,106,D,peace,0
276,We are determined to help create a lasting peace in Northern Ireland.,106,D,peace,0
277,"We support efforts by the Irish and British Governments and the political parties to break the current impasse, and we stand ready to assist in any way to achieve full implementation of the Belfast Agreement.",106,D,peace,0
278,Democrats will pursue a Russia policy that recognizes that country's importance and,101,D,foreign special +,0
279,"advances the core U.S. security interests at stake in Russia's historic transformation, beginning with cooperative work to secure vulnerable stockpiles of nuclear weapons and materials.",105,D,military -,0
280,"We reiterate that respect for human rights, the rule of law and Russia's fledgling democratic institutions and independent media outlets are essential to Russia's continued integration into international institutions and the global economy.",101,D,foreign special +,0
281,Addressing global health challenges - including the AIDS pandemic - is a humanitarian obligation and a national security imperative.,107,D,internationalism +,0
282,We are committed to a coordinated effort to combat the HIV/AIDS epidemic in the United States and in all other regions throughout the world.,107,D,internationalism +,0
283,Epidemics can decimate societies and contribute to failed states which can become bases for terrorists and other criminal elements.,107,D,internationalism +,0
284,And a strong global public health system is essential to effectively combating bio-terror threats.,107,D,internationalism +,0
285,"Our global health policy will bring the best of our scientific knowledge, financial resources, management skills, and compassion to the challenge of improving health conditions around the world.",107,D,internationalism +,0
286,And we will restore America's leadership in global health by rejecting policies driven by ideology instead of science.,107,D,internationalism +,0
287,We understand that promoting international economic development is a strategic imperative of the United States.,107,D,internationalism +,0
288,We will use American economic power to extend security and prosperity - which leads to peace - around the world.,106,D,peace,0
289,"And we will work with poor countries to help stabilize and diversify their economies, including through the consideration of sensible debt relief measures where appropriate.",107,D,internationalism +,0
290,We will support efforts to reach universal basic education and the other Millennium Development Goals.,107,D,internationalism +,0
291,"We are committed to the best training, facilities and support for America's diplomats, the men and women of America's foreign affairs community, who represent our country and work to promote our values around the world.",107,D,internationalism +,0
292,We need a new military to meet the new threats of the 21st Century.,104,D,military +,0
293,"Today's American military is the best in the world, but tomorrow's military must be even better.",104,D,military +,0
294,"It must be stronger, faster, better armed, and never again stretched so thin.",104,D,military +,0
